match_id,source_match_id,round_name,stage_type,is_knockout,date_source,time_source,kickoff_time_utc,kickoff_datetime_vietnam,kickoff_date_vietnam,kickoff_date_display_vietnam,kickoff_time_vietnam,kickoff_weekday_vietnam,kickoff_display_vietnam,home_team_id,home_team_name,away_team_id,away_team_name,venue,city,score_ft_home,score_ft_away,score_et_home,score_et_away,score_pen_home,score_pen_away,home_score_for_prediction,away_score_for_prediction,is_finished,winner_team_id,winner_team_name
1,1,Matchday 1,group,False,2026-06-11,13:00 UTC-6,2026-06-11 19:00:00+00:00,2026-06-12 02:00:00+07:00,2026-06-12,12/06/2026,02:00,Thứ 6,"02:00, 12/06/2026",58,Mexico,70,South Africa,,,2,0,,,,,2,0,True,58,Mexico
2,2,Matchday 1,group,False,2026-06-11,20:00 UTC-6,2026-06-12 02:00:00+00:00,2026-06-12 09:00:00+07:00,2026-06-12,12/06/2026,09:00,Thứ 6,"09:00, 12/06/2026",71,South Korea,42,Czech Republic,,,2,1,,,,,2,1,True,71,South Korea
3,3,Matchday 8,group,False,2026-06-18,12:00 UTC-4,2026-06-18 16:00:00+00:00,2026-06-18 23:00:00+07:00,2026-06-18,18/06/2026,23:00,Thứ 5,"23:00, 18/06/2026",42,Czech Republic,70,South Africa,,,1,1,,,,,1,1,True,,
4,4,Matchday 8,group,False,2026-06-18,19:00 UTC-6,2026-06-19 01:00:00+00:00,2026-06-19 08:00:00+07:00,2026-06-19,19/06/2026,08:00,Thứ 6,"08:00, 19/06/2026",58,Mexico,71,South Korea,,,1,0,,,,,1,0,True,58,Mexico
5,5,Matchday 14,group,False,2026-06-24,19:00 UTC-6,2026-06-25 01:00:00+00:00,2026-06-25 08:00:00+07:00,2026-06-25,25/06/2026,08:00,Thứ 5,"08:00, 25/06/2026",42,Czech Republic,58,Mexico,,,0,3,,,,,0,3,True,58,Mexico
6,6,Matchday 14,group,False,2026-06-24,19:00 UTC-6,2026-06-25 01:00:00+00:00,2026-06-25 08:00:00+07:00,2026-06-25,25/06/2026,08:00,Thứ 5,"08:00, 25/06/2026",70,South Africa,71,South Korea,,,1,0,,,,,1,0,True,70,South Africa
7,7,Matchday 2,group,False,2026-06-12,15:00 UTC-4,2026-06-12 19:00:00+00:00,2026-06-13 02:00:00+07:00,2026-06-13,13/06/2026,02:00,Thứ 7,"02:00, 13/06/2026",37,Canada,35,Bosnia & Herzegovina,,,1,1,,,,,1,1,True,,
8,8,Matchday 3,group,False,2026-06-13,12:00 UTC-7,2026-06-13 19:00:00+00:00,2026-06-14 02:00:00+07:00,2026-06-14,14/06/2026,02:00,Chủ nhật,"02:00, 14/06/2026",66,Qatar,74,Switzerland,,,1,1,,,,,1,1,True,,
9,9,Matchday 8,group,False,2026-06-18,12:00 UTC-7,2026-06-18 19:00:00+00:00,2026-06-19 02:00:00+07:00,2026-06-19,19/06/2026,02:00,Thứ 6,"02:00, 19/06/2026",74,Switzerland,35,Bosnia & Herzegovina,,,4,1,,,,,4,1,True,74,Switzerland
10,10,Matchday 8,group,False,2026-06-18,15:00 UTC-7,2026-06-18 22:00:00+00:00,2026-06-19 05:00:00+07:00,2026-06-19,19/06/2026,05:00,Thứ 6,"05:00, 19/06/2026",37,Canada,66,Qatar,,,6,0,,,,,6,0,True,37,Canada
