team_id,team_name
1,1B
2,1C
3,1F
4,1G
5,1H
6,1I
7,1J
8,1K
9,1L
10,2A
11,2B
12,2C
13,2D
14,2E
15,2F
16,2G
17,2H
18,2I
19,2J
20,2K
21,2L
22,3A/B/C/D/F
23,3A/E/H/I/J
24,3B/E/F/I/J
25,3C/D/F/G/H
26,3C/E/F/H/I
27,3D/E/I/J/L
28,3E/F/G/I/J
29,3E/H/I/J/K
30,Algeria
31,Argentina
32,Australia
33,Austria
34,Belgium
35,Bosnia & Herzegovina
36,Brazil
37,Canada
38,Cape Verde
39,Colombia
40,Croatia
41,Curaçao
42,Czech Republic
43,DR Congo
44,Ecuador
45,Egypt
46,England
47,France
48,Germany
49,Ghana
50,Haiti
51,Iran
52,Iraq
53,Ivory Coast
54,Japan
55,Jordan
56,L101
57,L102
58,Mexico
59,Morocco
60,Netherlands
61,New Zealand
62,Norway
63,Panama
64,Paraguay
65,Portugal
66,Qatar
67,Saudi Arabia
68,Scotland
69,Senegal
70,South Africa
71,South Korea
72,Spain
73,Sweden
74,Switzerland
75,Tunisia
76,Turkey
77,USA
78,Uruguay
79,Uzbekistan
80,W100
81,W101
82,W102
83,W73
84,W74
85,W75
86,W76
87,W77
88,W78
89,W79
90,W80
91,W81
92,W82
93,W83
94,W84
95,W85
96,W86
97,W87
98,W88
99,W89
100,W90
101,W91
102,W92
103,W93
104,W94
105,W95
106,W96
107,W97
108,W98
109,W99
